IAGA,GEOLON,GEOLAT,AACGMLON,AACGMLAT,STATION-NAME
KRT,13.02,33.37,85.83,23.27,Khartoum
KUJ,131.23,33.06,-156.78,26.43,Kuju
LAG,3.27,6.48,75.26,-1.72,Lagos
LGZ,123.74,13.1,-164.89,5.75,Legazpi
LKW,99.78,6.3,171.47,-1.98,Langkawi
LSK,28.19,-15.23,98.66,-25.69,Lusaka
LWA,104.06,-5.02,175.65,-14.06,Liwa
MLB,145.18,-38.36,-137.38,-49.12,Melbourne
MND,124.84,1.44,-163.75,-6.36,Manado Indon
NAB,36.48,-1.16,108.31,-9.58,Nairobi
PRP,119.4,-3.6,-169.02,-11.78,ParePare
PTK,158.25,52.94,-133.34,46.34,St.Paratunka
ROC,150.31,-23.19,-134.79,-32.12,Rockhampton
SBH,116.07,6.02,-172.46,-1.57,Jayapura
SCN,100.3,-0.55,171.92,-9.37,Sicincin
TGG,121.76,17.66,-166.75,10.52,Tuguegarao
TIR,76.95,8.48,148.92,0.55,Tirunelveli
WAD,256.1,51.9,-41.08,61.2,Wadena
G01,306.28,-29.72,13.19,-19.85,Santa Maria
KLD,20.2,54.5,96.34,50.63,Kaliningrad
T54,283.15,39.1,-1.3,49.91,Laurel
T55,208.74,60.55,-96.23,60.24,Kenia College
T56,267.03,45.59,-24.53,56.44,Hrisis
T57,255.39,38.25,-39.42,47.34,Pblolo
T58,237.83,37.42,-59.16,42.85,Stfdford
BRN,132.41,47.8,-155.22,41.67,Baranov
PG0,88.68,-83.67,38.28,-78.25,PG0
PG5,5.71,-81.96,36.81,-68.95,PG5
HRP,275.3,49.2,-12.22,60.28,Hornepayne
LCL,252.9,51,-45.19,59.73,Lucky Lake
T59,207.6,57.79,-95.84,57.15,Kodkak
T60,210.4,66.63,-98.83,66.75,Toolik Lake
T61,284.56,37.88,0.55,48.58,Walpsops Island
W01,147.21,-41.55,-133.98,-52.42,Launceston
W02,167.97,-29.03,-114.15,-35.64,Norfolk Island
W03,141.3,-2.7,-146.93,-10.79,Vanimo
