IAGA,GEOLON,GEOLAT,AACGMLON,AACGMLAT,STATION-NAME
PEL,24.08,66.9,104.95,63.42,Pello
LYC,18.75,64.61,99.33,61.23,Lycksele
OUJ,27.23,64.52,106.15,60.82,Oulujarvi
HAN,26.65,62.3,104.63,58.51,Hankasalmi
NUR,24.65,60.5,102.2,56.7,Nurmajarvi
UPS,17.35,59.9,95.9,56.34,Uppsala
TAR,26.46,58.26,102.92,54.33,Tartu
BRW,203.25,71.3,-108.95,70.25,Barrow
KAV,216.63,70.07,-97.02,71.21,Kaktovik
KOT,197.4,66.88,-109.17,64.91,Kotzebue
ARC,214.43,68.13,-96.81,68.94,Arctic Village
INK,226.7,68.25,-85.86,71.32,Inuvik
BET,208.32,66.9,-100.74,66.66,Bettles
FYU,214.7,66.57,-95.18,67.46,Fort Yukon
EAG,218.8,64.78,-90.14,66.46,Eagle
CMO,212.14,64.87,-96.03,65.29,College
CGO,212.14,64.87,-96.03,65.3,College Intl Geophys Observatory
GAK,214.7,62.3,-92.1,63.18,Gakona
TLK,209.9,63.3,-96.85,63.29,Talkeetna
CPY,235.3,70.2,-79.35,74.75,Cape Perry
PKR,212.74,65.08,-95.67,65.62,Poker Flat
DIK,80.57,73.55,156.09,68.71,Dixon
CCS,104.28,77.72,175.73,72.01,Chelyuskin
TIK,129,71.58,-162.65,66.04,Tixie
CWE,190.17,66.17,-114.01,63.17,Wellen
ARK,40.5,64.6,117.36,60.66,Arkhangelsk
AAE,38.77,9.03,110.54,0.77,Addis Ababa
ABG,72.87,18.62,145.25,12.05,Alibag
AMS,77.57,-37.8,138.67,-49.11,Martin de Vivias
API,188.22,-13.8,-97.53,-15.54,Apia
ASP,133.88,-23.77,-152.89,-33.95,Alice Springs
BMT,116.2,40.3,-171.24,34.7,Beijing Ming Tombs
BNG,18.57,4.33,90.2,-4.7,Bangui
BSL,270.37,30.35,-19.53,41.47,Bay St Louis
CNB,150.7,-34.1,-131.97,-43.68,Canberra
CAN,149.36,-35.3,-133.22,-45.17,Canberra
CZT,51.87,-46.43,106.16,-53.05,Port Alfred
DLR,259.08,29.49,-33.77,39.06,Del Rio
DRV,140.01,-66.67,-124.41,-80.47,Dumont Durville
EYR,172.4,-43.4,-103.64,-50,Eyrewell
GNA,116,-31.8,-173.01,-44.14,Gnangara
GUA,144.87,13.59,-144.21,6.2,Guam
GUI,343.57,28.32,60.65,14.17,Guimar
HBK,27.71,-25.88,95.07,-36.2,Hartebeesthoek
HER,19.23,-34.43,82.55,-42.07,Hermanus
HLP,18.82,54.61,95.19,50.79,Hel
HON,202,21.32,-90.19,21.45,Honolulu
HRB,18.19,47.86,92.81,43.58,Hurbanovo
IQA,291.48,63.75,15,72.9,Iqaluit
IRT,104.45,52.17,177.24,47.4,Irkutsk
ISK,29.06,41.07,101.58,35.95,Kandilli
KAK,140.18,36.23,-148.23,29.38,Kakioka
KOU,307.27,5.21,23.34,9.33,Kourou
LNP,121.17,25,-167.06,18.28,Lunping
MBO,343.03,14.38,57.85,0.11,Mbour
MMB,144.19,43.91,-144.52,37.13,Memambetsu
NCK,16.72,47.63,91.47,43.33,Nagycenk
MZH,117.4,49.6,-169.75,44.3,Manzaoli
PAF,70.26,-49.35,122.1,-58.49,Port aux Francias
PHU,105.95,21.03,177.68,14.1,Phuthuy
PPT,210.42,-17.57,-74.8,-16.57,Pamatai
SBA,166.78,-77.85,-33.34,-79.91,Scott Base
SJG,293.85,18.11,10.32,28.46,San Juan
SPT,355.65,39.55,72.03,32.35,San Pablo Toledo
SUA,26.25,45.32,99.57,40.78,Surlari
TAM,5.53,22.79,78.31,6.81,Tamanrasset
TAN,47.55,-18.92,116.75,-28.85,Antananarivo
TUC,249.27,32.17,-45.52,39.84,Tucson
VSS,316.35,-22.4,23.07,-17.21,Vassouras
KIV,30.3,50.72,104.31,46.55,Kiev
LNN,30.7,59.95,107.14,55.99,Leningrad
NKK,62.12,45.77,134.5,41.43,Novokazalinsk
MNK,26.52,54.1,101.72,50.07,Minsk
ODE,30.88,46.22,104.03,41.83,Odessa
TUL,264.22,35.92,-27.83,46.46,Tulsa
ASH,58.1,37.95,130.38,33.36,Ashkabad
TOL,355.95,39.88,72.33,32.87,Toledo
NVS,82.9,55.03,155.56,50.81,Novosibirsk
KGD,73.08,49.82,145.53,45.54,Karaganda
AAA,76.92,43.25,149.27,38.6,Alma Ata
TKT,69.62,41.33,141.98,36.71,Tashkent
LVV,23.75,49.9,98.22,45.76,Lvov
RSV,12.45,55.85,90.27,52.34,Rude Skov
MOS,37.32,55.48,111.72,51.34,Moscow
YSS,142.72,46.95,-145.87,40.3,Yuzhno Sakhalinsk
HIS,58.05,80.62,144.18,75.51,Heiss Island
ZGN,123.26,66.75,-165.86,61.42,Zhigansk
YAK,129.72,60.02,-158.67,54.46,Yakutsk
PPI,131.73,42.98,-155.9,36.72,Popov Island
BJI,116.18,40.06,-171.27,34.45,Beijing
BOX,38.97,58.03,113.83,53.94,Barok
MUT,121.02,14.37,-167.55,7.1,Muntinlupa
PTN,109.25,-0.05,-179.14,-8.26,Pontianak
WTK,112.63,-7.56,-175.72,-16.41,Watukosek
LRM,115,-21,-173.43,-31.83,Learmonth
KAT,117.62,-33.68,-171.25,-46.2,Katanning
KTN,137.71,75.94,-158.68,70.28,Kotelnyy
CHD,147.89,70.62,-147.39,65.13,Chokurdakh
ZYK,150.78,65.75,-142.63,60.1,Zyryanka
MGD,150.86,59.97,-140.61,53.91,Magadan
MSR,142.27,44.37,-146.22,37.66,Moshiri
ONW,141.47,38.43,-147,31.6,Onagawa
KAG,130.72,31.48,-157.35,24.79,Kagoshima
YMK,130.62,31.19,-157.46,24.49,Yamakawa
CBI,142.3,27.15,-146.57,20,Chichijima
YAP,138.5,9.3,-150.35,1.72,Yap
KOR,134.5,7.33,-154.27,-0.32,Koror
BIK,136.05,-1.08,-152.42,-9.15,Biak
WEW,143.62,-3.55,-144.46,-11.61,Wewak
DRW,130.9,-12.4,-157.02,-21.44,Darwin
WEP,141.88,-12.68,-145.43,-21.55,Weipa
BSV,139.21,-25.54,-146.77,-35.55,Birdsville
DAL,151.2,-27.18,-133.03,-36.22,Dalby
ADL,138.65,-34.67,-146.01,-45.73,Adelaide
CPS,180.55,68.88,-122.78,64.98,Cape Schmidt
EWA,202,21.32,-90.19,21.45,Ewa Beach
ASA,170.7,-14.28,-114.78,-19.14,American Samoa
MCQ,158.95,-54.5,-111.91,-64.48,Macquarie Island
CKA,73.6,68.5,148.4,64.2,Cape Kamenniy
AMD,61.4,69.5,137.78,65.31,Amderma
LOP,33.08,68.25,113.05,64.53,Lop
MBC,240.64,76.32,-86.64,80.9,Mould Bay
VIZ,76.98,79.48,156.02,74.02,Vieze Island
PBK,170.9,70.1,-130.45,65.49,Pebek
PGC,294.2,66.1,20.27,74.74,Pangnirtung
CY0,291.4,70.5,18.56,79.18,Clyde River
CDC,283.4,64.2,1.72,74.18,Cape Dorset
CHC,276.8,64.1,-10.03,74.39,Coral Harbour
GHC,264.1,68.6,-35.31,77.91,Gjoa Haven
IGC,278.2,69.3,-7.6,79.08,Igloolik
PBC,270.3,68.5,-23.34,78.26,Pelly Bay
RPB,273.8,66.5,-15.9,76.58,Repulse Bay
NAN,298.3,56.4,22.44,64.57,Nain
AIA,295.74,-65.25,9.12,-50.06,Faraday Islands
ASC,345.62,-7.95,55.95,-9.74,Ascension Island
VOS,106.87,-78.45,55.33,-83.55,Vostok
CSY,110.53,-66.28,156.79,-80.74,Casey
CTA,146.3,-20.1,-139.72,-29.22,Charters Towers
DVS,77.97,-68.58,100.14,-74.5,Davis
GLN,262.88,49.65,-31,60,Glenlea
HTY,139.8,33.12,-148.69,26.19,Hatizyo
KDU,132.47,-12.69,-155.36,-21.74,Kakadu
KNY,130.88,31.42,-157.2,24.72,Kanoya
MAW,62.88,-67.61,90.15,-70.05,Mawson
MIR,93.02,-66.55,123.19,-77.24,Mirny
PST,302.11,-51.7,10.51,-37.97,Port Stanley
TSU,17.7,-19.22,86.75,-30.09,Tsumeb
HUA,284.67,-12.05,-3.71,0.62,Huancayo
LIV,299.61,-62.66,10.7,-47.77,Livingston Island
TRW,294.68,-43.25,4.95,-29.38,Trelew
AQU,13.32,42.38,87.38,36.78,LAquila
MID,182.62,28.21,-110.04,25.23,Midway
LMM,40,-25.92,107.16,-35.87,Maputo
LZH,103.85,36.09,176.08,30.52,Lanzhou
QSB,35.64,33.87,107.38,27.79,Qsaybeh
TND,124.95,1.29,-163.64,-6.52,Tondano
EBR,0.49,40.82,76.2,34.24,Ebro
TEO,260.82,19.75,-30.79,29.22,Teoloyucan
